Suburb,population,schools,Skate_Parks,Sport_Grounds,Playgrounds,Basketball_Courts,crimes,Suburb.1,time_to_TC,closest_TC,time_to_Hospital,closest_Hospital,Recreation&Fitness,crimesPP,Bus_Stops,Fitness_Sites,Unemployment,Transport,Education,Livability,Crime_pred,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4
Forde,4552,1,0,0,3,2,27,Forde,7.683333333333334,Marketplace Gungahlin,21.016666666666666,"Calvary Hospital, ACT",0.75,0.00812829525483304,14,11,3.1,0.03071336689893352,16.935498499962463,95.86619294605103,0,27.470588235294116,26.941176470588232,26.41176470588235,25.882352941176467,25.352941176470587,24.823529411764703,24.29411764705882
Franklin,6653,2,1,0,1,0,101,Franklin,4.983333333333333,Marketplace Gungahlin,12.116666666666667,"Calvary Hospital, ACT",0.6,0.01668420261536149,19,8,3.1,0.02277925704394959,20.645399810266714,95.0777537086084,0,126.94117647058823,127.82352941176471,128.7058823529412,129.58823529411765,130.47058823529412,131.35294117647058,132.23529411764707
Harrison,9005,5,0,2,1,1,107,Harrison,6.05,Marketplace Gungahlin,15.2,"Calvary Hospital, ACT",0.6,0.012992781787895613,28,3,1.8,0.030041282324444512,32.8145458442543,96.12211981901808,0,103.03676470588233,104.52450980392155,106.01225490196077,107.49999999999997,108.9877450980392,110.47549019607841,111.96323529411762
Ngunnawal,10623,2,0,1,1,1,95,Ngunnawal,6.783333333333332,Marketplace Gungahlin,16.166666666666668,"Calvary Hospital, ACT",0.6,0.009884213499011578,60,0,3.1,0.04463632722380616,20.84950844141596,94.90291845185727,0,93.06617647058823,92.70098039215686,92.3357843137255,91.97058823529412,91.60539215686275,91.24019607843137,90.875
Nicholls,6760,7,0,3,0,1,82,Nicholls,10.6,Marketplace Gungahlin,15.383333333333333,"Calvary Hospital, ACT",0.55,0.013609467455621301,48,0,3.1,0.04347633737007477,41.362615620382236,95.69842808740323,0,81.36764705882351,79.10784313725487,76.84803921568624,74.58823529411762,72.32843137254899,70.06862745098036,67.80882352941174
Palmerston,5623,3,0,1,1,0,74,Palmerston,5.75,Marketplace Gungahlin,14.05,"Calvary Hospital, ACT",0.55,0.014938644851502756,25,0,3.1,0.02758876714271085,24.74839922500654,95.33539380393236,0,71.14705882352939,71.078431372549,71.00980392156862,70.94117647058822,70.87254901960783,70.80392156862743,70.73529411764704
Acton,2325,0,0,0,1,0,142,Acton,7.116666666666666,"City Bus Station, ACT",9.516666666666667,"Calvary Hospital, ACT",0.55,0.06537634408602151,22,1,4.4,0.024400897747819825,12.855177822017001,93.76565622716784,0,133.05882352941174,125.6862745098039,118.31372549019605,110.9411764705882,103.56862745098036,96.19607843137251,88.8235294117647
Ainslie,5321,4,0,2,1,1,131,Ainslie,7.116666666666666,"City Bus Station, ACT",12.633333333333333,"Calvary Hospital, ACT",0.6,0.026498778425108064,34,8,4.9,0.03169926305430541,28.91943485012945,93.9625328439088,0,106.82352941176471,106.92156862745098,107.01960784313727,107.11764705882354,107.2156862745098,107.31372549019608,107.41176470588236
Braddon,6011,2,0,0,0,0,232,Braddon,4.133333333333334,"City Bus Station, ACT",11.366666666666667,"Calvary Hospital, ACT",0.5,0.040259524205623023,29,0,3.1,0.02530015277134516,20.54901517889068,94.67903727405567,0,285.5441176470588,283.0490196078431,280.5539215686274,278.05882352941177,275.5637254901961,273.0686274509804,270.5735294117647
Lake Burley Griffin,0,0,0,0,0,0,0,Lake Burley Griffin,8.6,"City Bus Station, ACT",11.0,"Calvary Hospital, ACT",0.5,inf,0,0,4.1,0.018287148961346915,13.023378453241842,64.83958414338547,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campbell,5769,5,1,1,0,0,79,Campbell,8.483333333333333,"City Bus Station, ACT",14.7,"Calvary Hospital, ACT",0.55,0.015427283758016988,44,4,7.3,0.03891927085462359,33.09047047525235,92.25664071207909,0,73.44852941176467,72.52450980392155,71.6004901960784,70.67647058823526,69.75245098039213,68.82843137254899,67.90441176470586
Civic,3995,0,0,0,0,0,0,Civic,2.1666666666666665,"City Bus Station, ACT",11.666666666666664,"Calvary Hospital, ACT",0.5,0.0025031289111389237,0,0,4.1,0.011509445725207713,12.293879086356577,94.45158297657865,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dickson,2351,5,0,1,1,0,200,Dickson,7.45,"City Bus Station, ACT",11.033333333333333,"Calvary Hospital, ACT",0.55,0.0893236920459379,16,0,4.9,0.023515696162040484,32.97329700181483,93.28622674737616,0,171.6764705882353,163.68627450980392,155.69607843137254,147.7058823529412,139.7156862745098,131.72549019607843,123.73529411764707
Downer,3705,1,0,1,1,0,35,Downer,11.033333333333333,"City Bus Station, ACT",13.05,"Calvary Hospital, ACT",0.55,0.012145748987854251,17,0,4.9,0.02955044277445078,17.315367341268004,94.15130284462272,0,40.514705882352935,39.57843137254901,38.64215686274509,37.705882352941174,36.76960784313725,35.83333333333333,34.897058823529406
Hackett,2877,2,0,1,1,1,80,Hackett,12.183333333333335,"City Bus Station, ACT",14.8,"Calvary Hospital, ACT",0.6,0.03128258602711158,12,0,4.9,0.030179010637020054,21.461834334863696,94.13392901854338,0,41.22058823529412,42.38235294117648,43.544117647058826,44.70588235294118,45.867647058823536,47.029411764705884,48.19117647058824
Parkes,0,0,0,0,0,0,45,Parkes,7.383333333333334,"City Bus Station, ACT",11.233333333333333,"Canberra Hospital, ACT",0.5,inf,11,0,3.1,0.021561940613560725,12.885416137742816,64.83958414338547,0,46.919117647058826,45.30882352941177,43.69852941176471,42.088235294117645,40.47794117647059,38.86764705882353,37.25735294117647
Lyneham,5038,4,0,3,1,1,232,Lyneham,8.666666666666666,"City Bus Station, ACT",9.216666666666667,"Calvary Hospital, ACT",0.6,0.048034934497816595,36,0,4.8,0.03161909044380365,29.095195060285743,93.74434287360604,0,200.4485294117647,197.09313725490193,193.7377450980392,190.38235294117646,187.0269607843137,183.67156862745094,180.31617647058823
O'Connor,5701,7,2,5,2,1,154,O'Connor,7.116666666666666,"City Bus Station, ACT",7.416666666666668,"Calvary Hospital, ACT",0.75,0.028766883002981934,36,0,4.9,0.028464804173914397,40.967627621213786,94.24746253240237,0,109.38970588235298,107.2696078431373,105.1495098039216,103.02941176470591,100.90931372549024,98.78921568627455,96.66911764705887
Reid,1826,1,0,1,1,0,163,Reid,5.366666666666666,"City Bus Station, ACT",12.166666666666664,"Calvary Hospital, ACT",0.55,0.09474260679079956,14,0,7.4,0.021219382725982415,16.672803132094455,91.0147225114533,0,125.40441176470591,128.0245098039216,130.6446078431373,133.26470588235296,135.88480392156865,138.50490196078434,141.12500000000003
Turner,4127,3,0,1,1,0,99,Turner,5.166666666666667,"City Bus Station, ACT",8.866666666666667,"Calvary Hospital, ACT",0.55,0.026411436879088927,19,0,7.5,0.02046535460508651,24.682252909356322,91.76059765364938,0,68.04411764705887,60.67647058823533,53.308823529411825,45.94117647058829,38.57352941176475,31.205882352941217,23.83823529411771
Watson,6326,3,0,1,0,0,143,Watson,12.533333333333333,"City Bus Station, ACT",14.35,"Calvary Hospital, ACT",0.5,0.02418589946253557,18,0,4.8,0.03266673375561489,25.517586381281937,93.71933991796631,0,102.71323529411765,105.0735294117647,107.43382352941177,109.79411764705881,112.15441176470588,114.51470588235293,116.875
Deakin,2728,5,0,2,0,2,101,Deakin,7.816666666666666,"Woden Bus Station, ACT",6.9,"Canberra Hospital, ACT",0.6,0.0406891495601173,38,13,1.9,0.0296709986319558,33.01487468593782,96.60647678345023,0,72.56617647058823,69.05392156862744,65.54166666666666,62.029411764705884,58.5171568627451,55.00490196078431,51.49264705882352
Forrest,1655,1,0,0,0,0,30,Forrest,9.383333333333333,"Woden Bus Station, ACT",8.466666666666667,"Canberra Hospital, ACT",0.5,0.02416918429003021,10,0,3.7,0.021276389619440124,17.12826776271453,95.03701285298226,0,24.602941176470573,22.774509803921553,20.946078431372534,19.117647058823515,17.289215686274495,15.460784313725476,13.632352941176457
Griffith,4308,3,0,1,0,0,183,Griffith,12.55,"Woden Bus Station, ACT",10.766666666666667,"Canberra Hospital, ACT",0.5,0.04480037140204271,24,0,3.0,0.03234521289388387,25.5194762760148,95.15479934904673,0,196.87499999999997,197.0441176470588,197.21323529411762,197.38235294117644,197.55147058823528,197.7205882352941,197.88970588235293
Narrabundah,6176,5,0,6,1,1,113,Narrabundah,12.55,"Woden Bus Station, ACT",10.766666666666667,"Canberra Hospital, ACT",0.6,0.01991580310880829,47,0,4.0,0.041698608583188454,33.55160479007102,94.89006437652382,0,166.88970588235296,166.74019607843138,166.5906862745098,166.44117647058826,166.29166666666669,166.1421568627451,165.99264705882354
Red Hill,3257,6,0,0,1,0,63,Red Hill,11.583333333333336,"Woden Bus Station, ACT",10.666666666666666,"Canberra Hospital, ACT",0.55,0.022413263739637704,17,0,3.7,0.028324794739345127,37.45805515259306,95.32943452795915,0,95.16911764705884,96.10294117647061,97.03676470588236,97.97058823529413,98.9044117647059,99.83823529411765,100.77205882352942
Yarralumla,2840,3,0,2,2,0,98,Yarralumla,9.9,"Woden Bus Station, ACT",8.25,"Canberra Hospital, ACT",0.6,0.038028169014084505,17,16,1.8,0.024540823240566865,25.218983013489524,96.50302417545888,0,78.51470588235297,74.9509803921569,71.38725490196082,67.82352941176474,64.25980392156866,60.696078431372584,57.13235294117649
Banks,4888,0,0,1,0,0,36,Banks,8.416666666666666,"Tuggeranong Bus Station, ACT",18.8,"Canberra Hospital, ACT",0.5,0.009410801963993453,28,0,3.3,0.03551830118176313,13.002589611180344,95.23948863546048,0,46.9264705882353,46.85294117647059,46.779411764705884,46.705882352941174,46.63235294117647,46.55882352941176,46.48529411764706
Bonython,3698,2,0,1,1,1,84,Bonython,3.283333333333333,"Tuggeranong Bus Station, ACT",14.6,"Canberra Hospital, ACT",0.6,0.02541914548404543,22,0,3.4,0.023998479411674087,20.452630547514648,95.18817667274412,0,75.60294117647058,75.2843137254902,74.96568627450979,74.6470588235294,74.328431372549,74.00980392156862,73.69117647058823
Calwell,5605,4,0,3,0,0,92,Calwell,6.4,"Tuggeranong Bus Station, ACT",13.866666666666667,"Canberra Hospital, ACT",0.5,0.018198037466547724,30,0,3.4,0.030216918108510633,28.838169376616325,95.07124426801218,0,93.92647058823529,91.5,89.0735294117647,86.6470588235294,84.22058823529412,81.79411764705881,79.36764705882352
