Suburb,population,schools,Skate_Parks,Sport_Grounds,Playgrounds,Basketball_Courts,crimes,Suburb.1,bus_to_TC,closest_TC,time_to_Hospital,closest_Hospital,Recreation&Fitness,crimesPP,Bus_Stops,Fitness_Sites,Unemployment,Transport,Education,Livability
Narrabundah,6176,5,0,6,1,1,113,Narrabundah,12.55,"Woden Bus Station, ACT",10.766666666666667,"Canberra Hospital, ACT",0.6,0.01991580310880829,47,0,4.0,0.041698608583188454,33.55160479007102,94.89006437652382
Red Hill,3257,6,0,0,1,0,63,Red Hill,11.583333333333336,"Woden Bus Station, ACT",10.666666666666666,"Canberra Hospital, ACT",0.55,0.022413263739637704,17,0,3.7,0.028324794739345127,37.45805515259306,95.32943452795915
Yarralumla,2840,3,0,2,2,0,98,Yarralumla,9.9,"Woden Bus Station, ACT",8.25,"Canberra Hospital, ACT",0.6,0.038028169014084505,17,16,1.8,0.024540823240566865,25.218983013489524,96.50302417545888
Banks,4888,0,0,1,0,0,36,Banks,8.416666666666666,"Tuggeranong Bus Station, ACT",18.8,"Canberra Hospital, ACT",0.5,0.009410801963993453,28,0,3.3,0.03551830118176313,13.002589611180344,95.23948863546048
Bonython,3698,2,0,1,1,1,84,Bonython,3.283333333333333,"Tuggeranong Bus Station, ACT",14.6,"Canberra Hospital, ACT",0.6,0.02541914548404543,22,0,3.4,0.023998479411674087,20.452630547514648,95.18817667274412
Calwell,5605,4,0,3,0,0,92,Calwell,6.4,"Tuggeranong Bus Station, ACT",13.866666666666667,"Canberra Hospital, ACT",0.5,0.018198037466547724,30,0,3.4,0.030216918108510633,28.838169376616325,95.07124426801218
Chisholm,5145,4,0,2,0,1,110,Chisholm,6.916666666666668,"Tuggeranong Bus Station, ACT",13.4,"Canberra Hospital, ACT",0.55,0.023323615160349854,41,0,3.4,0.034914045328553245,28.896756113335087,95.22022758906638
Conder,5029,4,1,2,1,0,76,Conder,6.6,"Tuggeranong Bus Station, ACT",16.983333333333334,"Canberra Hospital, ACT",0.6,0.01710081527142573,28,0,3.3,0.0320486994937979,28.860848113410682,95.45414569720772
Fadden,3012,2,1,0,1,0,40,Fadden,10.35,"Tuggeranong Bus Station, ACT",12.0,"Canberra Hospital, ACT",0.6,0.016600265604249667,26,0,2.1,0.03162087790261578,21.25394591424872,96.629774810963
Gilmore,2724,2,0,1,0,0,46,Gilmore,9.416666666666666,"Tuggeranong Bus Station, ACT",14.966666666666667,"Canberra Hospital, ACT",0.5,0.020558002936857563,19,0,3.4,0.030017793633216168,21.148111809208373,95.37092228223693
Gordon,7626,3,0,1,1,1,102,Gordon,6.4833333333333325,"Tuggeranong Bus Station, ACT",16.95,"Canberra Hospital, ACT",0.6,0.014686598478888015,38,0,3.3,0.035957236118820304,24.83155459325253,95.07181132533847
Gowrie,2969,3,0,1,1,0,59,Gowrie,7.783333333333332,"Tuggeranong Bus Station, ACT",10.816666666666665,"Canberra Hospital, ACT",0.55,0.02324014819804648,21,0,2.0,0.025758902606960548,24.978966382415873,96.49453621878696
